,watermarking_algorithm,bpp,train_dataset,test_dataset,recognizer,modality,TAR_at_FAR_baseline_cosine,TAR_at_FAR_watermarked_cosine,TAR_at_FAR_watermarked_both_cosine
285,stegformer,3,coco,LFW,facenet,online,90.655,90.179,90.238
294,stegformer,6,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
295,stegformer,6,celeba_hq,ONOT_set1,arcface,online,53.333,56.863,52.549
297,stegformer,6,celeba_hq,LFW,arcface,online,94.405,94.345,94.286
306,stegformer,6,celeba_hq,SCface,facenet,online,90.0,89.231,90.0
307,stegformer,6,celeba_hq,ONOT_set1,facenet,online,50.196,45.49,43.922
309,stegformer,6,celeba_hq,LFW,facenet,online,90.655,89.643,88.869
318,stegformer,6,coco,SCface,arcface,online,99.231,99.231,99.231
319,stegformer,6,coco,ONOT_set1,arcface,online,53.333,52.549,50.98
321,stegformer,6,coco,LFW,arcface,online,94.405,94.286,94.226
330,stegformer,6,coco,SCface,facenet,online,90.0,81.538,87.692
331,stegformer,6,coco,ONOT_set1,facenet,online,50.196,46.667,42.745
333,stegformer,6,coco,LFW,facenet,online,90.655,89.048,87.857
342,stegformer,8,celeba_hq,SCface,arcface,online,99.231,99.231,99.231
343,stegformer,8,celeba_hq,ONOT_set1,arcface,online,53.333,53.333,52.941
345,stegformer,8,celeba_hq,LFW,arcface,online,94.405,94.405,94.405
354,stegformer,8,celeba_hq,SCface,facenet,online,90.0,89.231,90.0
355,stegformer,8,celeba_hq,ONOT_set1,facenet,online,50.196,49.02,48.235
357,stegformer,8,celeba_hq,LFW,facenet,online,90.655,90.595,90.774
366,stegformer,8,coco,SCface,arcface,online,99.231,99.231,99.231
367,stegformer,8,coco,ONOT_set1,arcface,online,53.333,52.941,52.941
369,stegformer,8,coco,LFW,arcface,online,94.405,94.405,94.405
378,stegformer,8,coco,SCface,facenet,online,90.0,90.0,90.0
379,stegformer,8,coco,ONOT_set1,facenet,online,50.196,50.196,49.804
381,stegformer,8,coco,LFW,facenet,online,90.655,90.595,90.833
